"cd_UGestora","dt_Ano","nu_Contrato","nu_Aditivo","dt_Assinatura","de_Motivo","vl_Aditivo","dt_MesAno","dt_Aditado"
"201139","2010","000892007","00892007","2/12/2008 00:00:00","prorrogação de 02 meses","9472,0000","002013",""
"201139","2010","000942008","00942008","9/7/2009 00:00:00","tendo em vista que a ordem de autorização do serviço apenas foi concedida em 06/07/2009, fica aditado este contrato pelo periodo de 180 dias.","520365,7000","002013",""
"201139","2010","000942008","094A2010","2/6/2010 00:00:00","Prorrogação do prazo contratual por mais 180 (cento e oitenta) dias","0,0000","002013",""
"201139","2010","000992007","00992007","7/4/2008 00:00:00","ADITIVO FINANCEIRO","26499,7200","002013",""
"201139","2010","001062007","01062007","21/7/2008 00:00:00","REFORMA DE SALA PARA IMPLANTACAO DO PROJETO INCLUSAO DIGITAL NAS ESCOLAS, EDGAR GUEDES, MARIA DA CONCEICAO, JACIRA CESAR E IGREJA ASSEMBLEIA DE DEUS.","7053,2000","002013",""
"201139","2013","001232012","00012012","18/12/2012 00:00:00","prorroga prazo","0,0000","072013","31/8/2013 00:00:00"
"201139","2013","001232012","00012013","15/8/2013 00:00:00","PRORROGA PRAZO","0,0000","092013","31/12/2013 00:00:00"
"201139","2014","001232012","00012014","2/1/2014 00:00:00","PRORROGA PRAZO","0,0000","072014","31/12/2014 00:00:00"
"201139","2013","001412013","00012013","9/10/2013 00:00:00","Aumento na quantidade solicitada","4254,5400","102013","31/12/2013 00:00:00"
"201139","2011","001672010","01672010","19/1/2011 00:00:00","Prorrogação do prazop por mais 45 (quarenta e cinco dias)","0,0000","002013",""
"201139","2013","001992012","00012013","15/8/2013 00:00:00","ATRASO NA LIBERAÇÃO DOS RECURSOS","0,0000","102013","31/12/2013 00:00:00"
"201139","2010","002512008","02512008","2/10/2008 00:00:00","PRORROGAÇÃO DO PRAZO PARA 31/12/200/","6328,4900","002013",""
"201139","2010","002522008","00252008","2/10/2008 00:00:00","PRORROGAÇÃO DO PRAZO PARA 31/12/200/","9000,0000","002013",""
"201139","2012","002532011","02552012","1/7/2012 00:00:00","1.....................","1,0000","002013","31/12/2012 00:00:00"
"201139","2010","002822007","02812007","19/2/2008 00:00:00","prazo prorrogado por mais 45 dias","41482,0000","002013",""
"201139","2010","004732008","04732008","5/12/2008 00:00:00","prorrogação para ate o dia 31 de dezembro.","49593,3500","002013",""
"201139","2010","004812008","04812008","3/9/2008 00:00:00","PRAZO PRORROGADO ATE 31/12/2008","1255,0000","002013",""
"201139","2010","004822008","04822008","3/9/2008 00:00:00","PRAZO PRORROGADO ATE 31/12/2008","1870,8500","002013",""
"201139","2010","004832008","04832008","3/9/2008 00:00:00","PRAZO PRORROGADO ATE 31/12/2008","2458,1000","002013",""
"201139","2010","004842008","04842008","3/9/2008 00:00:00","PRAZO PRORROGADO ATE 31/12/2008","24040,6300","002013",""
"201139","2010","0061A2007","00612007","11/2/2008 00:00:00","prazo prorrogado por mais 01 mes","62940,0000","002013",""
"201139","2010","008512008","08512008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008522008","08522008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008532008","08532008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008542008","08542009","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008552008","08552008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008562008","08562008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008572008","08572008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008582008","08582008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","008592008","08592008","30/1/2009 00:00:00","prorrogação para mais 02 meses.","0,0000","002013",""
"201139","2010","023012007","02322007","2/1/2008 00:00:00","prorrogado por mais 2 meses","2700,0000","002013",""
"201139","2010","023012007","23012007","23/8/2007 00:00:00","prorrogacao do prazo para mais 04 meses","5200,0000","002013",""
"201139","2010","023022007","02332007","2/1/2008 00:00:00","prorrogado para mais 2 meses","2800,0000","002013",""
"201139","2010","023022007","23032007","23/8/2007 00:00:00","prorrogacao do prazo para mais 04 meses","5600,0000","002013",""
"201139","2010","023032007","02322007","2/1/2008 00:00:00","prorrogado para mais 2 meses","2700,0000","002013",""
"201139","2010","023032007","23022007","23/8/2007 00:00:00","prorrogacao do prazo para mais 04 meses","5400,0000","002013",""
"201139","2010","023042007","02342007","2/1/2008 00:00:00","prorrogado para mais 2 meses","3300,0000","002013",""
"201139","2010","023042007","23042007","23/8/2007 00:00:00","prorrogacao do prazo para mais 04 meses","6600,0000","002013",""
"201139","2010","023052007","02352007","2/1/2008 00:00:00","prorrogado para mais 2 meses","2900,0000","002013",""
"201139","2010","023052007","23052007","23/8/2007 00:00:00","prorrogação do prazo para mais 04 meses","5800,0000","002013",""
"201139","2010","023062007","02362007","2/1/2008 00:00:00","prorrogado para mais 2 meses","2400,0000","002013",""
"201139","2010","023062007","23062007","23/8/2007 00:00:00","prorrogacao do prazo para mais 04 meses","4800,0000","002013",""
"201139","2010","081012007","00812007","11/2/2008 00:00:00","prazo prorrogado por mais 01 mes","17683,4800","002013",""
"201139","2010","081032008","00812008","2/3/2009 00:00:00","prorrogado o prazo.","0,0000","002013",""
"201139","2010","082032007","00802007","11/2/2008 00:00:00","prazo prorrogado por mais 45 dias","21962,1000","002013",""
"201139","2010","097022007","00972007","11/2/2008 00:00:00","prazo prorrogado por mais 1 mes","27956,5500","002013",""
"201139","2015","100592014","00012014","26/8/2014 00:00:00","O PRESENTE TERMO ADITIVO, QUE VISA DIMINUIR O VALOR DO CONTRATO 059/2014, JUSTIFICA-SE PELA REVISAO FEITA NA SECRETARIA DE INFRAESTRUTURA DO VALOR ORIGINAL DO REFERIDO CONTRATO, ONDE FICA REDUZIDO 3.1","-18900,0000","072015","31/12/2014 00:00:00"
"201139","2014","TP1712013","00012014","2/2/2014 00:00:00","POR MOTIVO DE PARALIZAÇÃO DE OBRAS","0,0000","072014","31/12/2014 00:00:00"
"201140","2010","000012007","00012009","2/1/2009 00:00:00","prorroga prazo para 02/01/2010.","0,0000","002013",""
"201140","2010","000012007","00022009","30/12/2009 00:00:00","Prorroga prazo para 02/01/2011","0,0000","002013",""
"201140","2010","000022005","00022005","1/2/2006 00:00:00","Inserção de mudanças nas exigencias pactutuadas e alongamento do pazo conforme previsão legal","18000,0000","002013",""
"201140","2012","000022012","00012012","26/3/2012 00:00:00","prorroga prazo.","0,0000","002013","30/6/2012 00:00:00"
"201140","2012","000022012","00032012","26/6/2012 00:00:00","prorroga prazo.","0,0000","002013","28/9/2012 00:00:00"
"201140","2012","000022012","00042012","24/9/2012 00:00:00","prorroga prazo.","0,0000","002013","27/12/2012 00:00:00"
"201140","2010","000032005","00032005","1/2/2006 00:00:00","prorrogação de prazo conforme previsão legal","16800,0000","002013",""
"201140","2010","000042005","00042005","1/2/2006 00:00:00","prorrogação com alongamento de prazo conforme previsão legal","7200,0000","002013",""
"201140","2010","000082005","00082005","1/2/2006 00:00:00","Prorrogação de prazo conforme previsão legal","10800,0000","002013",""
"201140","2010","000082006","00012006","1/2/2007 00:00:00","PRORROGA PRAZO POR MAIS UM ANO.","11400,0000","002013",""
"201140","2010","000082006","00012008","1/2/2008 00:00:00","Prorroga prazo por mais um ano.","14160,0000","002013",""
"201140","2010","000092007","00012008","1/2/2008 00:00:00","progado por mais um ano.","0,0000","002013",""
"201140","2010","000102005","00102005","1/2/2006 00:00:00","Prorrogação de prazo conforme previsão legal","7200,0000","002013",""
"201140","2010","000112005","00112005","1/2/2006 00:00:00","Prorrogação de prazo conforme previsão legal","21600,0000","002013",""
"201140","2010","000112006","00012006","1/2/2007 00:00:00","PRORROGA PRAZO POR MAIS UM ANO.","15000,0000","002013",""
